gate_id	category	lane	status	command	log
G01	policy	origin-main	PASS	bash infra/tests/test_docs_no_duplicate_security_sections.sh	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/G01.log
G02	policy	origin-main	PASS	bash infra/tests/test_policy_runtime_parity.sh	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/G02.log
G03	policy	origin-main	PASS	bash infra/tests/test_secret_residency_contract.sh	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/G03.log
G04	policy	origin-main	PASS	bash infra/tests/test_payment_boundary_regressions.sh	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/G04.log
G05	policy	origin-main	PASS	bash infra/tests/test_sync_edge_secrets_from_gsm.sh	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/G05.log
G06	policy	origin-main	PASS	bash infra/tests/test_free_tier_status_report.sh	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/G06.log
G07	policy	origin-main	PASS	bash infra/tests/test_ensure_uv_api_venv.sh	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/G07.log
F00	functional	origin-main	PASS	UV_CACHE_DIR=/tmp/bominal-uv-cache bash infra/scripts/ensure-uv-api-venv.sh	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/F00.log
F-AUTH-01	functional	origin-main	PASS	cd api && UV_CACHE_DIR=/tmp/bominal-uv-cache uv run --python .venv/bin/python -m pytest -q tests/test_auth_flow.py tests/test_auth_route_units.py tests/test_auth_service_units.py tests/test_supabase_auth.py tests/test_supabase_auth_service.py	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/F-AUTH-01.log
F-TRAIN-01	functional	origin-main	PASS	cd api && UV_CACHE_DIR=/tmp/bominal-uv-cache uv run --python .venv/bin/python -m pytest -q tests/test_train_tasks.py tests/test_train_queue.py tests/test_train_worker_provider_flow_units.py tests/test_train_worker_remaining_units.py tests/test_train_router_and_rate_limiter_units.py tests/test_rate_limit_units.py tests/test_worker_runtime_units.py	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/F-TRAIN-01.log
F-TRAIN-EDGE-OFF	functional	origin-main	PASS	cd api && UV_CACHE_DIR=/tmp/bominal-uv-cache EDGE_TASK_NOTIFY_ENABLED=false uv run --python .venv/bin/python -m pytest -q tests/test_train_worker_provider_flow_units.py tests/test_train_worker_remaining_units.py	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/F-TRAIN-EDGE-OFF.log
F-TRAIN-EDGE-ON	functional	origin-main	PASS	cd api && UV_CACHE_DIR=/tmp/bominal-uv-cache EDGE_TASK_NOTIFY_ENABLED=true SUPABASE_URL=https://example.supabase.co SUPABASE_SERVICE_ROLE_KEY=test-key SUPABASE_EDGE_TIMEOUT_SECONDS=5 EMAIL_FROM_ADDRESS=no-reply@example.com uv run --python .venv/bin/python -m pytest -q tests/test_train_worker_provider_flow_units.py tests/test_train_worker_remaining_units.py	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/F-TRAIN-EDGE-ON.log
F-PAY-API-01	functional	origin-main	PASS	cd api && UV_CACHE_DIR=/tmp/bominal-uv-cache uv run --python .venv/bin/python -m pytest -q tests/test_wallet.py tests/test_system_payment_service_units.py tests/test_train_service_payment_units.py	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/F-PAY-API-01.log
F-PAY-WEB-DEPS	functional	origin-main	PASS	NPM_CONFIG_CACHE=/tmp/bominal-npm-cache npm ci --prefix web	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/F-PAY-WEB-DEPS.log
F-PAY-WEB-01	functional	origin-main	PASS	NPM_CONFIG_CACHE=/tmp/bominal-npm-cache npm --prefix web run test -- --run components/wallet/__tests__/payment-settings-panel.test.tsx	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/F-PAY-WEB-01.log
F-TRAIN-WEB-01	functional	origin-main	PASS	NPM_CONFIG_CACHE=/tmp/bominal-npm-cache npm --prefix web run test -- --run components/train/__tests__/train-dashboard.actions.test.tsx components/train/__tests__/train-dashboard.polling.test.tsx	/Users/jasonlee/bominal/artifacts/release-audit-20260227T221136Z/origin-main/logs/F-TRAIN-WEB-01.log
